timestamp,zone_id,x_coord,y_coord,density,people_count,movement_speed,direction_variance
0,Zone_0_0,0,0,3.12,31,0.86,52.3
0,Zone_0_1,0,1,2.68,26,1.04,42.3
0,Zone_0_2,0,2,2.1,21,1.23,58.8
0,Zone_0_3,0,3,1.68,16,0.93,58.7
0,Zone_0_4,0,4,4.12,41,1.33,49.4
0,Zone_0_5,0,5,1.79,17,1.08,56.2
0,Zone_0_6,0,6,2.6,25,1.2,55.9
0,Zone_0_7,0,7,1.86,18,0.9,33.1
0,Zone_0_8,0,8,2.53,25,1.07,53.8
0,Zone_0_9,0,9,1.18,11,1.23,32.2
0,Zone_1_0,1,0,4.17,41,1.24,55.0
0,Zone_1_1,1,1,4.29,42,1.33,32.8
0,Zone_1_2,1,2,3.12,31,1.1,33.3
0,Zone_1_3,1,3,2.21,22,0.88,39.5
0,Zone_1_4,1,4,2.26,22,1.05,39.9
0,Zone_1_5,1,5,3.65,36,0.96,57.3
0,Zone_1_6,1,6,3.73,37,0.81,55.6
0,Zone_1_7,1,7,2.65,26,1.14,47.8
0,Zone_1_8,1,8,3.72,37,1.18,58.2
0,Zone_1_9,1,9,2.56,25,1.1,56.0
0,Zone_2_0,2,0,3.81,38,0.91,33.4
0,Zone_2_1,2,1,3.2,32,1.01,57.9
0,Zone_2_2,2,2,3.29,32,1.13,31.7
0,Zone_2_3,2,3,3.94,39,0.86,40.3
0,Zone_2_4,2,4,3.74,37,0.91,30.1
0,Zone_2_5,2,5,2.41,24,0.99,36.4
0,Zone_2_6,2,6,2.67,26,1.02,34.0
0,Zone_2_7,2,7,4.53,45,0.8,53.4
0,Zone_2_8,2,8,3.98,39,0.84,42.9
0,Zone_2_9,2,9,2.79,27,0.96,33.5
0,Zone_3_0,3,0,3.24,32,1.01,45.4
0,Zone_3_1,3,1,2.81,28,1.28,50.3
0,Zone_3_2,3,2,2.21,22,1.1,42.1
0,Zone_3_3,3,3,4.3,43,1.08,58.1
0,Zone_3_4,3,4,3.77,37,0.99,44.6
0,Zone_3_5,3,5,2.92,29,1.0,43.5
0,Zone_3_6,3,6,2.42,24,1.14,51.5
0,Zone_3_7,3,7,3.07,30,0.99,50.9
0,Zone_3_8,3,8,2.78,27,1.03,43.8
0,Zone_3_9,3,9,3.3,32,1.13,44.6
0,Zone_4_0,4,0,3.84,38,1.39,35.1
0,Zone_4_1,4,1,3.18,31,1.04,52.8
0,Zone_4_2,4,2,4.04,40,0.92,59.5
0,Zone_4_3,4,3,2.63,26,1.25,30.9
0,Zone_4_4,4,4,1.41,14,1.26,59.5
0,Zone_4_5,4,5,2.64,26,0.93,31.6
0,Zone_4_6,4,6,4.54,45,0.84,45.3
0,Zone_4_7,4,7,2.53,25,0.89,44.6
0,Zone_4_8,4,8,2.17,21,0.97,35.3
0,Zone_4_9,4,9,3.71,37,1.17,42.1
0,Zone_5_0,5,0,2.84,28,0.81,40.8
0,Zone_5_1,5,1,2.05,20,1.21,56.4
0,Zone_5_2,5,2,3.89,38,0.91,45.7
0,Zone_5_3,5,3,3.34,33,1.36,35.0
0,Zone_5_4,5,4,2.8,27,1.09,42.3
0,Zone_5_5,5,5,3.59,35,1.1,59.6
0,Zone_5_6,5,6,1.96,19,1.23,39.1
0,Zone_5_7,5,7,4.23,42,1.07,39.3
0,Zone_5_8,5,8,2.68,26,1.15,48.1
0,Zone_5_9,5,9,1.95,19,1.24,35.9
0,Zone_6_0,6,0,4.23,42,1.06,48.0
0,Zone_6_1,6,1,3.15,31,0.88,53.1
0,Zone_6_2,6,2,3.14,31,1.04,59.1
0,Zone_6_3,6,3,3.08,30,1.23,57.7
0,Zone_6_4,6,4,3.49,34,1.37,38.6
0,Zone_6_5,6,5,2.92,29,1.2,36.5
0,Zone_6_6,6,6,2.43,24,1.4,55.6
0,Zone_6_7,6,7,3.74,37,1.09,48.8
0,Zone_6_8,6,8,2.95,29,0.99,36.5
0,Zone_6_9,6,9,1.86,18,1.3,45.0
0,Zone_7_0,7,0,2.77,27,0.91,49.4
0,Zone_7_1,7,1,3.95,39,0.85,47.7
0,Zone_7_2,7,2,2.32,23,0.82,44.5
0,Zone_7_3,7,3,4.02,40,1.37,57.6
0,Zone_7_4,7,4,2.87,28,1.3,33.9
0,Zone_7_5,7,5,3.28,32,1.05,30.7
0,Zone_7_6,7,6,1.84,18,1.14,48.1
0,Zone_7_7,7,7,2.77,27,1.34,59.8
0,Zone_7_8,7,8,2.45,24,1.01,33.5
0,Zone_7_9,7,9,3.2,31,0.83,38.0
0,Zone_8_0,8,0,1.78,17,1.33,35.0
0,Zone_8_1,8,1,3.02,30,0.98,44.2
0,Zone_8_2,8,2,2.74,27,1.22,30.9
0,Zone_8_3,8,3,3.93,39,1.34,47.6
0,Zone_8_4,8,4,2.4,23,1.06,56.1
0,Zone_8_5,8,5,3.02,30,1.2,39.9
0,Zone_8_6,8,6,2.55,25,1.34,55.7
0,Zone_8_7,8,7,4.25,42,1.39,38.1
0,Zone_8_8,8,8,2.85,28,0.85,57.5
0,Zone_8_9,8,9,1.45,14,1.12,47.3
0,Zone_9_0,9,0,3.87,38,0.85,50.0
0,Zone_9_1,9,1,2.76,27,1.23,52.4
0,Zone_9_2,9,2,3.01,30,1.23,46.1
0,Zone_9_3,9,3,3.56,35,0.93,40.7
0,Zone_9_4,9,4,3.76,37,1.25,35.3
0,Zone_9_5,9,5,3.45,34,0.82,38.2
0,Zone_9_6,9,6,3.07,30,1.27,34.2
0,Zone_9_7,9,7,2.01,20,1.37,48.7
0,Zone_9_8,9,8,2.17,21,1.25,33.7
0,Zone_9_9,9,9,3.43,34,0.83,43.7
1,Zone_0_0,0,0,3.85,38,1.23,38.9
1,Zone_0_1,0,1,3.5,35,1.38,46.7
1,Zone_0_2,0,2,4.03,40,1.26,49.3
1,Zone_0_3,0,3,4.14,41,1.27,56.0
1,Zone_0_4,0,4,3.24,32,1.33,56.8
1,Zone_0_5,0,5,3.96,39,0.84,55.9
1,Zone_0_6,0,6,3.93,39,1.02,32.7
1,Zone_0_7,0,7,2.78,27,1.23,43.1
1,Zone_0_8,0,8,2.86,28,1.1,44.8
1,Zone_0_9,0,9,4.11,41,1.29,59.3
1,Zone_1_0,1,0,1.88,18,1.25,32.5
1,Zone_1_1,1,1,4.71,47,1.18,45.1
1,Zone_1_2,1,2,2.44,24,1.0,55.7
1,Zone_1_3,1,3,2.8,28,0.98,53.8
1,Zone_1_4,1,4,2.98,29,1.1,49.2
1,Zone_1_5,1,5,2.98,29,1.05,45.4
1,Zone_1_6,1,6,2.19,21,0.89,53.2
1,Zone_1_7,1,7,2.66,26,0.85,31.1
1,Zone_1_8,1,8,2.2,22,1.15,59.9
1,Zone_1_9,1,9,2.86,28,1.17,54.7
1,Zone_2_0,2,0,3.09,30,1.24,39.8
1,Zone_2_1,2,1,3.39,33,0.89,51.7
1,Zone_2_2,2,2,4.46,44,1.15,46.9
1,Zone_2_3,2,3,3.76,37,1.07,37.3
1,Zone_2_4,2,4,3.7,36,1.35,39.9
1,Zone_2_5,2,5,3.05,30,0.9,43.8
1,Zone_2_6,2,6,3.41,34,1.37,52.2
1,Zone_2_7,2,7,4.39,43,0.96,46.4
1,Zone_2_8,2,8,2.59,25,0.94,36.3
1,Zone_2_9,2,9,1.99,19,1.12,55.4
1,Zone_3_0,3,0,3.55,35,0.89,32.5
1,Zone_3_1,3,1,3.05,30,1.17,57.0
1,Zone_3_2,3,2,3.83,38,1.26,50.9
1,Zone_3_3,3,3,3.69,36,1.29,58.9
1,Zone_3_4,3,4,3.13,31,1.18,50.9
1,Zone_3_5,3,5,2.33,23,1.03,52.9
1,Zone_3_6,3,6,2.84,28,1.37,58.0
1,Zone_3_7,3,7,3.43,34,1.1,43.1
1,Zone_3_8,3,8,3.14,31,1.03,30.2
1,Zone_3_9,3,9,4.08,40,1.13,57.5
1,Zone_4_0,4,0,3.04,30,1.32,51.9
1,Zone_4_1,4,1,2.14,21,0.92,59.5
1,Zone_4_2,4,2,3.17,31,1.18,36.0
1,Zone_4_3,4,3,3.43,34,1.31,40.4
1,Zone_4_4,4,4,3.17,31,0.83,33.8
1,Zone_4_5,4,5,2.36,23,1.25,58.4
1,Zone_4_6,4,6,2.37,23,1.37,52.3
1,Zone_4_7,4,7,2.64,26,1.23,34.1
1,Zone_4_8,4,8,4.47,44,1.25,46.1
1,Zone_4_9,4,9,2.67,26,1.37,52.5
1,Zone_5_0,5,0,2.54,25,1.19,32.8
1,Zone_5_1,5,1,2.88,28,1.2,55.6
1,Zone_5_2,5,2,3.42,34,0.91,31.9
1,Zone_5_3,5,3,2.67,26,0.91,57.8
1,Zone_5_4,5,4,2.77,27,0.88,37.9
1,Zone_5_5,5,5,3.19,31,1.05,48.5
1,Zone_5_6,5,6,3.49,34,1.25,34.8
1,Zone_5_7,5,7,3.22,32,1.1,32.2
1,Zone_5_8,5,8,3.88,38,1.08,59.9
