timestamp,zone_id,x_coord,y_coord,density,people_count,movement_speed,direction_variance
0,Zone_0_0,0,0,0.88,8,1.49,51.0
0,Zone_0_1,0,1,1.59,15,1.04,52.0
0,Zone_0_2,0,2,1.34,13,1.22,53.0
0,Zone_0_3,0,3,1.59,15,1.08,54.0
0,Zone_0_4,0,4,1.97,19,1.06,55.0
0,Zone_0_5,0,5,1.77,17,1.33,55.0
0,Zone_0_6,0,6,2.29,22,1.5,54.0
0,Zone_0_7,0,7,1.36,13,1.14,53.0
0,Zone_0_8,0,8,1.27,12,1.49,52.0
0,Zone_0_9,0,9,1.97,19,1.14,51.0
0,Zone_1_0,1,0,1.25,12,1.25,50.0
0,Zone_1_1,1,1,1.29,12,1.24,51.0
0,Zone_1_2,1,2,1.82,18,1.12,52.0
0,Zone_1_3,1,3,1.41,14,1.04,53.0
0,Zone_1_4,1,4,1.82,18,1.46,54.0
0,Zone_1_5,1,5,1.31,13,1.06,54.0
0,Zone_1_6,1,6,1.88,18,1.3,53.0
0,Zone_1_7,1,7,1.37,13,1.13,52.0
0,Zone_1_8,1,8,0.92,9,1.23,51.0
0,Zone_1_9,1,9,1.44,14,1.06,50.0
0,Zone_2_0,2,0,1.54,15,1.36,49.0
0,Zone_2_1,2,1,1.17,11,1.23,50.0
0,Zone_2_2,2,2,1.5,14,1.05,51.0
0,Zone_2_3,2,3,1.62,16,1.06,52.0
0,Zone_2_4,2,4,1.17,11,1.43,53.0
0,Zone_2_5,2,5,1.78,17,1.13,53.0
0,Zone_2_6,2,6,1.19,11,1.49,52.0
0,Zone_2_7,2,7,1.9,18,1.03,51.0
0,Zone_2_8,2,8,1.14,11,1.22,50.0
0,Zone_2_9,2,9,0.95,9,1.32,49.0
0,Zone_3_0,3,0,0.79,7,1.36,48.0
0,Zone_3_1,3,1,1.23,12,1.15,49.0
0,Zone_3_2,3,2,1.33,13,1.07,50.0
0,Zone_3_3,3,3,1.13,11,1.5,51.0
0,Zone_3_4,3,4,1.32,13,1.44,52.0
0,Zone_3_5,3,5,1.21,12,1.3,52.0
0,Zone_3_6,3,6,1.76,17,1.47,51.0
0,Zone_3_7,3,7,1.27,12,1.28,50.0
0,Zone_3_8,3,8,0.99,9,1.49,49.0
0,Zone_3_9,3,9,1.46,14,1.45,48.0
0,Zone_4_0,4,0,1.27,12,1.34,48.0
0,Zone_4_1,4,1,1.01,10,1.37,49.0
