timestamp,zone_id,x_coord,y_coord,density,people_count,movement_speed,direction_variance
0,Zone_0_0,0,0,1.03,10,0.91,22.3
0,Zone_0_1,0,1,2.3,22,1.22,48.3
0,Zone_0_2,0,2,0.42,4,0.93,32.2
0,Zone_0_3,0,3,1.44,14,1.1,31.6
0,Zone_0_4,0,4,1.64,16,1.06,38.2
0,Zone_0_5,0,5,1.92,19,0.94,40.6
0,Zone_0_6,0,6,1.71,17,0.92,22.6
0,Zone_0_7,0,7,2.29,22,1.48,52.3
0,Zone_0_8,0,8,1.17,11,1.11,24.9
0,Zone_0_9,0,9,1.36,13,0.82,56.4
0,Zone_1_0,1,0,0.76,7,1.16,41.9
0,Zone_1_1,1,1,1.09,10,1.48,51.0
0,Zone_1_2,1,2,2.42,24,1.45,23.5
0,Zone_1_3,1,3,1.07,10,0.83,33.0
0,Zone_1_4,1,4,1.43,14,1.05,31.2
0,Zone_1_5,1,5,1.48,14,0.9,52.1
0,Zone_1_6,1,6,0.77,7,1.31,50.9
0,Zone_1_7,1,7,0.83,8,1.05,24.6
0,Zone_1_8,1,8,1.92,19,0.84,32.4
0,Zone_1_9,1,9,1.37,13,1.31,45.5
0,Zone_2_0,2,0,2.07,20,1.3,50.4
0,Zone_2_1,2,1,1.61,16,1.34,39.8
0,Zone_2_2,2,2,1.47,14,0.88,21.3
0,Zone_2_3,2,3,1.76,17,1.02,40.3
0,Zone_2_4,2,4,2.21,22,1.33,29.2
0,Zone_2_5,2,5,0.35,3,1.0,26.4
0,Zone_2_6,2,6,2.46,24,1.41,52.1
0,Zone_2_7,2,7,1.1,11,1.42,41.6
0,Zone_2_8,2,8,2.05,20,0.88,29.1
0,Zone_2_9,2,9,1.49,14,1.37,54.4
0,Zone_3_0,3,0,0.0,0,0.96,24.8
0,Zone_3_1,3,1,1.24,12,1.46,32.9
0,Zone_3_2,3,2,1.35,13,1.48,58.5
0,Zone_3_3,3,3,1.28,12,1.15,32.0
0,Zone_3_4,3,4,1.09,10,1.15,22.1
0,Zone_3_5,3,5,0.97,9,1.44,29.6
0,Zone_3_6,3,6,0.86,8,0.97,46.9
0,Zone_3_7,3,7,2.02,20,0.97,49.1
0,Zone_3_8,3,8,1.52,15,1.18,23.6
0,Zone_3_9,3,9,2.45,24,1.02,27.5
0,Zone_4_0,4,0,0.92,9,0.81,40.5
0,Zone_4_1,4,1,1.13,11,1.25,27.0
0,Zone_4_2,4,2,2.01,20,0.9,33.6
0,Zone_4_3,4,3,0.69,6,1.45,55.1
0,Zone_4_4,4,4,1.22,12,1.19,41.2
0,Zone_4_5,4,5,1.09,10,0.87,55.9
0,Zone_4_6,4,6,2.01,20,1.04,49.0
0,Zone_4_7,4,7,2.53,25,1.42,51.2
0,Zone_4_8,4,8,1.83,18,0.81,24.1
0,Zone_4_9,4,9,2.0,19,0.8,26.4
