timestamp,zone_id,x_coord,y_coord,density,people_count,movement_speed,direction_variance
0,Zone_0_0,0,0,2.17,21,1.1,44.0
0,Zone_0_1,0,1,2.36,23,0.96,65.8
0,Zone_0_2,0,2,3.0,29,1.07,40.9
0,Zone_0_3,0,3,3.1,31,1.0,64.1
0,Zone_0_4,0,4,3.51,35,0.53,94.7
0,Zone_0_5,0,5,3.44,34,0.7,72.6
0,Zone_0_6,0,6,2.11,21,1.22,65.5
0,Zone_0_7,0,7,3.46,34,0.99,68.6
0,Zone_0_8,0,8,2.67,26,1.13,42.5
0,Zone_0_9,0,9,3.35,33,0.95,47.9
0,Zone_1_0,1,0,2.05,20,1.07,54.3
0,Zone_1_1,1,1,3.38,33,1.26,55.8
0,Zone_1_2,1,2,2.47,24,0.89,68.6
0,Zone_1_3,1,3,2.93,29,1.11,48.3
0,Zone_1_4,1,4,3.94,39,0.9,52.1
0,Zone_1_5,1,5,2.08,20,1.16,52.0
0,Zone_1_6,1,6,2.58,25,1.15,58.3
0,Zone_1_7,1,7,2.36,23,1.2,48.7
0,Zone_1_8,1,8,2.49,24,0.95,44.3
0,Zone_1_9,1,9,2.11,21,1.09,47.4
0,Zone_2_0,2,0,3.41,34,1.16,60.9
0,Zone_2_1,2,1,2.3,23,1.1,69.0
0,Zone_2_2,2,2,3.4,33,0.81,54.4
0,Zone_2_3,2,3,2.81,28,0.8,58.3
0,Zone_2_4,2,4,3.07,30,1.24,68.6
0,Zone_2_5,2,5,2.83,28,1.24,47.7
0,Zone_2_6,2,6,2.48,24,1.11,43.1
0,Zone_2_7,2,7,2.46,24,1.18,61.5
0,Zone_2_8,2,8,3.45,34,1.19,46.5
0,Zone_2_9,2,9,3.54,35,1.26,64.9
0,Zone_3_0,3,0,2.55,25,1.1,53.0
0,Zone_3_1,3,1,2.77,27,1.12,46.1
0,Zone_3_2,3,2,3.16,31,0.85,40.2
0,Zone_3_3,3,3,3.04,30,1.01,43.6
0,Zone_3_4,3,4,2.1,21,1.16,67.2
0,Zone_3_5,3,5,3.01,30,0.95,55.7
0,Zone_3_6,3,6,3.21,32,1.1,51.4
0,Zone_3_7,3,7,2.46,24,0.89,42.1
0,Zone_3_8,3,8,3.08,30,0.97,46.4
0,Zone_3_9,3,9,1.9,18,0.8,67.7
0,Zone_4_0,4,0,2.88,28,1.3,54.4
0,Zone_4_1,4,1,3.08,30,0.84,53.6
0,Zone_4_2,4,2,3.33,33,0.96,68.9
0,Zone_4_3,4,3,2.52,25,1.29,70.0
0,Zone_4_4,4,4,2.93,29,0.82,53.4
0,Zone_4_5,4,5,3.44,34,1.29,59.9
0,Zone_4_6,4,6,1.96,19,1.09,46.3
0,Zone_4_7,4,7,3.1,30,1.15,45.1
0,Zone_4_8,4,8,3.07,30,0.88,64.8
0,Zone_4_9,4,9,2.65,26,1.28,49.8
0,Zone_5_0,5,0,1.16,11,1.28,69.7
0,Zone_5_1,5,1,2.64,26,0.85,67.0
0,Zone_5_2,5,2,2.61,26,1.3,60.8
0,Zone_5_3,5,3,1.93,19,0.96,50.7
0,Zone_5_4,5,4,2.44,24,1.13,42.6
0,Zone_5_5,5,5,4.11,41,0.79,87.3
0,Zone_5_6,5,6,3.75,37,0.51,61.6
0,Zone_5_7,5,7,2.77,27,1.06,56.3
0,Zone_5_8,5,8,2.9,28,1.24,52.3
0,Zone_5_9,5,9,3.01,30,0.9,63.3
0,Zone_6_0,6,0,1.75,17,0.83,57.4
0,Zone_6_1,6,1,1.8,17,1.25,56.7
0,Zone_6_2,6,2,1.9,19,1.09,61.1
0,Zone_6_3,6,3,3.16,31,0.94,68.3
0,Zone_6_4,6,4,2.77,27,1.3,67.2
0,Zone_6_5,6,5,2.33,23,0.96,41.0
0,Zone_6_6,6,6,2.26,22,1.08,56.1
0,Zone_6_7,6,7,3.14,31,0.94,51.8
0,Zone_6_8,6,8,2.25,22,1.02,46.0
0,Zone_6_9,6,9,3.17,31,0.8,58.5
0,Zone_7_0,7,0,3.22,32,1.26,57.5
0,Zone_7_1,7,1,3.32,33,0.92,52.8
0,Zone_7_2,7,2,3.37,33,0.94,53.2
0,Zone_7_3,7,3,2.02,20,1.08,50.5
0,Zone_7_4,7,4,3.31,33,0.96,42.3
0,Zone_7_5,7,5,2.45,24,1.18,63.9
0,Zone_7_6,7,6,2.78,27,0.82,69.9
0,Zone_7_7,7,7,3.27,32,0.83,41.6
0,Zone_7_8,7,8,2.48,24,1.2,69.4
0,Zone_7_9,7,9,2.58,25,1.27,59.7
0,Zone_8_0,8,0,2.59,25,1.28,62.6
0,Zone_8_1,8,1,2.92,29,1.29,64.3
0,Zone_8_2,8,2,3.8,38,1.18,44.9
0,Zone_8_3,8,3,2.21,22,0.83,47.8
0,Zone_8_4,8,4,3.42,34,0.82,48.6
0,Zone_8_5,8,5,2.19,21,1.05,48.9
0,Zone_8_6,8,6,3.03,30,1.16,45.9
0,Zone_8_7,8,7,2.54,25,0.98,52.3
0,Zone_8_8,8,8,3.75,37,0.83,64.3
0,Zone_8_9,8,9,2.53,25,0.81,42.4
0,Zone_9_0,9,0,2.44,24,0.88,45.2
0,Zone_9_1,9,1,2.41,24,1.08,67.9
0,Zone_9_2,9,2,2.47,24,1.02,44.5
0,Zone_9_3,9,3,2.92,29,0.86,49.1
0,Zone_9_4,9,4,3.64,36,0.67,67.6
0,Zone_9_5,9,5,4.67,46,0.71,69.7
0,Zone_9_6,9,6,2.57,25,1.25,62.2
0,Zone_9_7,9,7,2.71,27,0.89,69.8
0,Zone_9_8,9,8,2.5,24,1.22,63.3
0,Zone_9_9,9,9,3.41,34,1.23,44.8
1,Zone_0_0,0,0,2.52,25,1.04,51.8
1,Zone_0_1,0,1,2.17,21,1.22,48.7
1,Zone_0_2,0,2,2.5,25,1.19,50.2
1,Zone_0_3,0,3,3.25,32,0.86,63.2
1,Zone_0_4,0,4,3.77,37,0.63,83.7
1,Zone_0_5,0,5,3.65,36,0.82,88.6
1,Zone_0_6,0,6,3.37,33,0.96,68.0
1,Zone_0_7,0,7,3.51,35,1.08,51.1
1,Zone_0_8,0,8,3.47,34,1.2,56.9
1,Zone_0_9,0,9,3.05,30,1.22,48.8
1,Zone_1_0,1,0,2.08,20,1.06,53.4
1,Zone_1_1,1,1,2.39,23,1.05,56.7
1,Zone_1_2,1,2,2.28,22,1.21,41.6
1,Zone_1_3,1,3,2.3,23,1.2,60.6
1,Zone_1_4,1,4,2.33,23,1.24,55.6
1,Zone_1_5,1,5,1.77,17,1.1,64.5
1,Zone_1_6,1,6,2.18,21,1.08,45.2
1,Zone_1_7,1,7,3.78,37,1.09,51.9
1,Zone_1_8,1,8,3.13,31,0.81,63.9
1,Zone_1_9,1,9,3.52,35,1.21,42.4
1,Zone_2_0,2,0,3.3,32,1.17,61.8
1,Zone_2_1,2,1,2.68,26,0.83,57.3
1,Zone_2_2,2,2,3.72,37,1.04,55.2
1,Zone_2_3,2,3,2.05,20,1.22,47.8
1,Zone_2_4,2,4,2.67,26,1.04,45.7
1,Zone_2_5,2,5,2.21,22,1.3,42.6
1,Zone_2_6,2,6,2.95,29,1.21,56.1
1,Zone_2_7,2,7,2.88,28,1.21,46.5
1,Zone_2_8,2,8,2.29,22,1.1,56.1
1,Zone_2_9,2,9,2.68,26,0.9,60.0
1,Zone_3_0,3,0,3.04,30,0.9,47.3
1,Zone_3_1,3,1,2.72,27,1.2,49.6
1,Zone_3_2,3,2,1.93,19,0.99,54.2
1,Zone_3_3,3,3,2.16,21,1.19,53.2
1,Zone_3_4,3,4,3.2,32,0.94,59.4
1,Zone_3_5,3,5,1.88,18,1.29,69.7
1,Zone_3_6,3,6,2.54,25,1.14,62.1
1,Zone_3_7,3,7,3.31,33,1.02,57.2
1,Zone_3_8,3,8,3.2,31,1.18,59.5
1,Zone_3_9,3,9,2.4,23,0.94,48.5
1,Zone_4_0,4,0,2.77,27,1.15,62.9
1,Zone_4_1,4,1,2.56,25,1.15,56.7
1,Zone_4_2,4,2,3.73,37,1.13,67.8
1,Zone_4_3,4,3,2.0,19,1.15,59.0
1,Zone_4_4,4,4,2.69,26,1.22,54.8
1,Zone_4_5,4,5,3.04,30,1.24,60.7
1,Zone_4_6,4,6,2.2,22,0.85,54.0
1,Zone_4_7,4,7,3.27,32,1.11,44.8
1,Zone_4_8,4,8,2.95,29,1.05,42.4
1,Zone_4_9,4,9,3.16,31,1.01,49.7
1,Zone_5_0,5,0,2.67,26,1.24,41.7
1,Zone_5_1,5,1,3.79,37,0.98,59.5
1,Zone_5_2,5,2,2.3,23,0.95,64.1
1,Zone_5_3,5,3,2.87,28,1.09,56.3
1,Zone_5_4,5,4,3.03,30,0.83,49.4
1,Zone_5_5,5,5,3.67,36,0.86,61.8
1,Zone_5_6,5,6,3.92,39,0.76,93.1
1,Zone_5_7,5,7,3.02,30,1.27,43.7
1,Zone_5_8,5,8,3.57,35,1.12,61.4
1,Zone_5_9,5,9,2.12,21,0.99,60.0
1,Zone_6_0,6,0,2.31,23,1.07,42.9
1,Zone_6_1,6,1,2.2,21,1.25,50.2
1,Zone_6_2,6,2,2.51,25,0.98,66.2
1,Zone_6_3,6,3,2.58,25,0.81,53.7
1,Zone_6_4,6,4,3.08,30,0.83,65.5
1,Zone_6_5,6,5,2.52,25,1.14,62.9
1,Zone_6_6,6,6,3.04,30,0.87,51.8
1,Zone_6_7,6,7,3.67,36,1.21,67.1
1,Zone_6_8,6,8,2.83,28,1.19,45.2
1,Zone_6_9,6,9,2.95,29,1.18,70.0
1,Zone_7_0,7,0,3.72,37,1.02,53.2
1,Zone_7_1,7,1,3.2,32,0.9,51.1
1,Zone_7_2,7,2,3.51,35,0.9,62.5
1,Zone_7_3,7,3,2.46,24,0.96,68.4
1,Zone_7_4,7,4,2.47,24,1.26,63.0
1,Zone_7_5,7,5,2.98,29,0.82,44.5
1,Zone_7_6,7,6,2.79,27,0.82,41.1
1,Zone_7_7,7,7,1.84,18,1.07,41.4
1,Zone_7_8,7,8,2.48,24,0.97,49.3
1,Zone_7_9,7,9,1.68,16,1.09,59.7
1,Zone_8_0,8,0,3.0,29,0.98,52.7
1,Zone_8_1,8,1,2.76,27,0.99,44.1
1,Zone_8_2,8,2,3.57,35,1.25,56.3
1,Zone_8_3,8,3,3.6,35,1.05,68.1
1,Zone_8_4,8,4,2.9,29,0.86,55.3
1,Zone_8_5,8,5,2.77,27,0.81,42.2
1,Zone_8_6,8,6,3.44,34,1.24,65.3
1,Zone_8_7,8,7,3.51,35,1.11,60.2
1,Zone_8_8,8,8,2.89,28,1.19,66.4
1,Zone_8_9,8,9,2.9,29,0.91,40.3
1,Zone_9_0,9,0,2.33,23,1.21,50.1
1,Zone_9_1,9,1,3.28,32,0.95,52.8
1,Zone_9_2,9,2,3.25,32,1.23,47.5
1,Zone_9_3,9,3,1.97,19,1.13,42.2
1,Zone_9_4,9,4,3.98,39,0.75,74.8
1,Zone_9_5,9,5,3.5,35,0.61,99.2
1,Zone_9_6,9,6,2.46,24,1.11,67.3
1,Zone_9_7,9,7,3.85,38,1.2,66.5
1,Zone_9_8,9,8,3.19,31,1.21,68.1
1,Zone_9_9,9,9,2.22,22,0.93,56.2
2,Zone_0_0,0,0,2.69,26,1.19,49.3
2,Zone_0_1,0,1,3.1,31,1.15,41.3
2,Zone_0_2,0,2,2.3,22,0.94,61.9
2,Zone_0_3,0,3,3.43,34,1.23,51.6
2,Zone_0_4,0,4,3.5,34,0.93,85.0
2,Zone_0_5,0,5,3.7,36,0.55,81.2
2,Zone_0_6,0,6,3.18,31,1.28,57.6
2,Zone_0_7,0,7,2.66,26,0.85,57.7
2,Zone_0_8,0,8,2.5,25,1.04,57.2
2,Zone_0_9,0,9,3.39,33,1.29,59.8
2,Zone_1_0,1,0,2.93,29,0.81,49.7
2,Zone_1_1,1,1,3.36,33,1.09,68.7
2,Zone_1_2,1,2,3.37,33,1.19,43.1
2,Zone_1_3,1,3,2.68,26,0.91,51.9
2,Zone_1_4,1,4,3.94,39,1.24,60.7
2,Zone_1_5,1,5,3.11,31,1.24,61.0
2,Zone_1_6,1,6,2.4,24,1.04,69.0
2,Zone_1_7,1,7,2.27,22,0.88,68.4
2,Zone_1_8,1,8,2.65,26,0.82,49.6
2,Zone_1_9,1,9,2.22,22,0.88,59.3
2,Zone_2_0,2,0,3.36,33,0.87,43.5
2,Zone_2_1,2,1,3.22,32,1.19,64.5
2,Zone_2_2,2,2,2.9,28,1.28,63.7
2,Zone_2_3,2,3,2.59,25,0.84,53.3
2,Zone_2_4,2,4,3.29,32,1.05,66.0
2,Zone_2_5,2,5,2.33,23,1.18,60.3
2,Zone_2_6,2,6,2.25,22,1.22,48.3
2,Zone_2_7,2,7,3.44,34,0.82,43.8
2,Zone_2_8,2,8,1.81,18,1.17,53.0
2,Zone_2_9,2,9,2.82,28,1.12,45.5
2,Zone_3_0,3,0,3.16,31,1.14,65.5
2,Zone_3_1,3,1,1.99,19,1.07,50.2
2,Zone_3_2,3,2,3.41,34,0.88,44.6
2,Zone_3_3,3,3,3.29,32,1.26,61.8
2,Zone_3_4,3,4,2.53,25,1.01,58.4
2,Zone_3_5,3,5,3.58,35,0.95,44.6
2,Zone_3_6,3,6,2.85,28,0.82,50.8
2,Zone_3_7,3,7,2.48,24,1.23,52.2
2,Zone_3_8,3,8,3.69,36,1.26,40.9
2,Zone_3_9,3,9,3.31,33,1.0,58.7
2,Zone_4_0,4,0,2.87,28,1.1,53.6
2,Zone_4_1,4,1,3.15,31,1.27,40.9
2,Zone_4_2,4,2,2.27,22,1.09,48.1
2,Zone_4_3,4,3,2.08,20,1.16,46.2
2,Zone_4_4,4,4,2.41,24,0.89,65.2
2,Zone_4_5,4,5,2.93,29,1.22,69.4
2,Zone_4_6,4,6,3.08,30,1.12,55.3
